"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
129007.484500202,113023.921867622,144991.047132783,104562.734911695,153452.23408871
137021.250157152,114018.050133323,160024.45018098,101840.891607384,172201.608706919
139608.080619382,114067.757373553,165148.40386521,100547.526942743,178668.63429602
139449.559785194,112527.015078324,166372.104492064,98275.0808049346,180624.038765453
139556.940900752,111546.265465089,167567.616336414,96718.3095787188,182395.572222785
138143.453426434,109061.710400385,167225.196452483,93666.7655808824,182620.141271985
136961.073965712,106446.467361071,167475.680570353,90293.0103813257,183629.137550098
137181.357994213,104989.379887449,169373.336100976,87947.9760713047,186414.739917121
137785.43952816,104032.462788642,171538.416267678,86164.7162119185,189406.162844402
138103.616719685,102996.645425575,173210.588013795,84412.1374279434,191795.096011427
138187.685399623,101867.66179075,174507.709008496,82641.0026871056,193734.36811214
138070.294928275,100604.582511276,175536.007345274,80771.4323879695,195369.157468581
137880.262415159,99276.8556014539,176483.669228864,78841.4464442562,196919.078386062
137798.796427892,98048.5707127358,177549.022143049,77006.0723006062,198591.520555178
137835.578733446,96951.4919986111,178719.665468282,75308.7638198094,200362.393647084
137901.562923638,95919.5952191371,179883.53062814,73695.6839616166,202107.44188566
137942.48046667,94903.8635368452,180981.097396495,72120.5959676051,203764.364965735
137945.921211628,93885.0933768267,182006.749046429,70560.7000414347,205331.142381821
137924.552149655,92866.0181997027,182983.086099606,69013.4711503099,206835.633148999
137903.472586663,91864.9900118326,183941.955161494,67493.6894959627,208313.255677364
137897.319589137,90895.277693478,184899.361484796,66013.8996846195,209780.739493654
137903.059234753,89955.4198519071,185850.698617599,64573.4727704293,211232.645699077
137911.271573705,89037.1847300548,186785.358417355,63164.8059875697,212657.737159841
137915.624001162,88133.7906765615,187697.457325763,61780.8799738081,214050.368028516
137915.018211171,87242.5419184828,188587.49450386,60418.1533082563,215411.883114087
137912.03875958,86364.2711163128,189459.806402848,59076.5312540282,216747.546265133
137909.755516977,85500.8316299952,190318.679403958,57757.2231892327,218062.28784472
137909.368114197,84652.8128972841,191165.923331109,56460.4955349181,219358.240693475
137910.249947621,83819.2517116234,192001.24818362,55185.2068976965,220635.292997546
137911.243791719,82998.6085019831,192823.879081454,53929.6153050582,221892.872278379
137911.650993922,82189.65328455,193633.648703294,52692.2095034176,223131.092484426
137911.468376555,81391.7707081781,194431.166044931,51472.0500765697,224350.88667654
137911.08385787,80604.768095866,195217.399619874,50268.6369989503,225553.53071679
137910.843781832,79828.5048782061,195993.182685458,49081.5719447835,226740.11561888
137910.839937205,79062.6713729238,196759.008501487,47910.3327058637,227911.347168547
137910.966710424,78306.8037950769,197515.129625772,46754.2658927754,229067.667528073
137911.081474204,77560.4109569408,198261.751991468,45612.6958010426,230209.467147366
137911.114301758,76823.075191763,198999.153411753,44485.0206814949,231337.207922021
137911.080833225,76094.4739345605,199727.68773189,43370.7389341723,232451.422732278
137911.033324797,75374.3420230696,200447.724626524,42269.4173656308,233552.649283963
137911.009449032,74662.4247195986,201159.594178465,41180.6464455425,234641.372452522
